block_height,hash,received,confirmed,fees,gas_fee_cap,gas_price,gas_tip_cap,gas_used
20000007,89ababa8014878eda2f30f78499934dafe2cb1e9e79d43a6d70f3dc30b2b350b,2024-06-01T22:37:50.945Z,2024-06-01T22:38:11Z,834366728696354,6595888999,6595888999,48500000,182441
20000007,831093ec53a18082e0745824c09725c814b4c6a3f6554abd9adeea0cfaf833e3,2024-06-01T22:38:02.246Z,2024-06-01T22:38:11Z,1386336022260620,7374828042,7374828042,47045000,303230
20000007,a39574cd5a343196178478bd96c8faca64b0eff510bf70ac3d8aa49e2d333cd6,2024-06-01T22:38:03.929Z,2024-06-01T22:38:11Z,1448892173176500,7056466855,7056466855,1000000000,262250
20000007,780bccc430a0c1c25615670959e8c1912363fbb0204fb488d9c221a4cbb9af86,2024-06-01T22:38:07.896Z,2024-06-01T22:38:11Z,711444000000000,6000000000,6000000000,2000000000,118574
20000007,cccd8adb42cbc7dfa710bd4086ad2908c7e550b6f0d0878ade6a2d913377f717,2024-06-01T22:38:10.308Z,2024-06-01T22:38:11Z,824692315085702,6860570213,6860570213,47045000,180383
20000007,1268194ee260abab30983429ce32de28ac5947ce1928050baafd963ba6387fc7,2024-06-01T22:38:08.824Z,2024-06-01T22:38:11Z,710348110468798,6204827241,6204827241,500000000,141367
20000007,cb9b92fba2e5683f255d92383cce551875b24e7a123c34ad79ca1d324b4ce42d,2024-06-01T22:38:11Z,2024-06-01T22:38:11Z,40945614316763860,69027649954,69027649954,69027649954,593177
20000007,78223a7097dc09c00adc77616bb91e70a428177c7a91215736a666b943dbb8ee,2024-06-01T22:38:01.524Z,2024-06-01T22:38:11Z,273000000000000,13000000000,13000000000,13000000000,21000
20000007,fb5ba2710a204e28ef36ef92479b143dd2806de0d480b681e3c46ba61b74fcab,2024-06-01T22:38:02.161Z,2024-06-01T22:38:11Z,821717000000000,13000000000,13000000000,13000000000,63209
20000007,350e8718871b6df870aab48947ffd5c536f1675cff8b62c07788b7ce8cd4477a,2024-06-01T22:38:02.96Z,2024-06-01T22:38:11Z,665262000000000,13000000000,13000000000,13000000000,51174
20000007,210f54a8913e5cd7a74ee43e0faaf8e4cc2cff0a349baccc45ae80e19f58879d,2024-06-01T22:38:11Z,2024-06-01T22:38:11Z,1294451845617537,15069224671,15069224671,9322663909,93479
20000008,a80fcdbac5d0acff99f7ea88c9fab7f6267be8dbb5c8643192fd08f1666aa154,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,564212681525248,5089967176,5089967176,0,110848
20000008,a45b93f28d7f1e4a4c8059ca3d2533e1993abb7d67ceb38647276b8c6672c518,2024-06-01T22:38:16.703Z,2024-06-01T22:38:23Z,803942131627696,10869342384,10869342384,9700000,157646
20000008,e9fbc67363d161f495bcbd4d235e2120252e620a99b011365959502ffc73f741,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,33148110936218490,315302916706,315302916706,315302916706,105131
20000008,580c9e260e355e00b48a1b8589f505b2d5d8ed17cba311312a53be33e35421fd,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,6430702670231400,47441989708,47441989708,41000000000,139525
20000008,224314294e0306f90802cdede7592c97df582d3f7a0164adefe6b02fcb6a5dfc,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,1635581132821974,14518562615,14518562615,8054304302,124433
